Nom,Actions,Actions légendaires,CA,CHAR,CON,DEX,Description,FOR,INT,Modif. CHAR,Modif. CON,Modif. DEX,Modif. FOR,Modif. INT,Modif. SAG,PV,Puissance (XP),Race,SAG,Taille,Vitesse
Malfrat,"Attaques multiples. Le malfrat effectue deux attaques au corps à corps.
Masse d'armes. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 5 (1d6 + 2) dégâts contondants.
Arbalète lourde. Attaque à distance avec une arme : +2 au toucher, portée 30/120 m, une cible. Touché : 5 (1d10) dégâts perforants.",,11,11,14,11,"Compétences Intimidation +2
Sens Perception passive 10
Langues une langue au choix (généralement le commun)
Tactique de groupe. Le malfrat a un avantage aux jets d'attaque contre une créature si au moins l'un de ses alliés est à 1,50 mètre ou moins de la créature et n'est pas incapable d'agir.",15,10,0,2,0,2,0,0,32,100,Humanoïde,10,M,9
Cultiste fanatique,"Attaques multiples. Le fanatique effectue deux attaques au corps à corps.
Dague. Attaque au corps à corps ou à distance avec une arme : +4 au toucher, allonge 1,50 m ou portée 6/18 m, une créature. Touché : 4 (1d4 + 2) dégâts perforants.",,13,13,12,14,"Flamme sacrée (https://www.notion.so/Flamme-sacr-e-245300de717f80478beed6c3472b9c15?pvs=21),Lumière (https://www.notion.so/Lumi-re-245300de717f80c0ad8ffd8e6abc41d1?pvs=21),Thaumaturgie (https://www.notion.so/Thaumaturgie-245300de717f8038942dd6ae7e21a9fe?pvs=21),Blessure (https://www.notion.so/Blessure-245300de717f804284a4dc8cfdef2148?pvs=21),Injonction (https://www.notion.so/Injonction-247300de717f80ed91a3d0593aa5a1db?pvs=21),Bouclier de la foi (https://www.notion.so/Bouclier-de-la-foi-245300de717f80148d56f3a4b2d2ecbe?pvs=21),Immobilisation de personne (https://www.notion.so/Immobilisation-de-personne-245300de717f8084bd68d8fdc6b790a0?pvs=21)",11,10,1,1,2,0,0,2,44,450,Humanoïde,14,M,9
Vétéran,"Attaques multiples. Le vétéran effectue deux attaques à l'épée longue. S'il a dégainé son épée courte, il peut également effectuer une attaque avec cette dernière.
Épée longue. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché : 7 (1d8 + 3) dégâts tranchants, ou 8 (1d10 + 3) dégâts tranchants si utilisée à deux mains.
Épée courte. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché : 6 (1d6 + 3) dégâts perforants.
Arbalète lourde. Attaque à distance avec une arme : +3 au toucher, portée 30/120 m, une cible. Touché : 6 (1d10 + 1) dégâts perforants.",,17,10,14,13,,16,10,0,2,1,3,0,0,58,700,Humanoïde,11,M,9
Espion,"Attaques multiples. L'espion effectue deux attaques au corps à corps.
Épée courte. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants.
Arbalète de poing. Attaque à distance avec une arme : +4 au toucher, portée 9/36 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants.",,12,16,10,15,"Compétences Discrétion +4, Escamotage +4, Intuition +4, Investigation +5, Perception +6, Persuasion +5, Tromperie +5
Sens Perception passive 16
Langues deux langues au choix

Ruse. À chacun de ses tours, l'espion peut utiliser une action bonus pour Se désengager, Se cacher ou Foncer.
Attaque sournoise (1/tour). L'espion inflige 7 (2d6) dégâts supplémentaires à une créature qu'il touche avec une arme s'il a un avantage au jet d'attaque, ou si la cible est à 1,50 mètre ou moins d'un allié de l'espion qui n'est pas incapable d'agir et que l'espion n'a pas un désavantage au jet d'attaque.",10,12,3,0,2,0,1,2,27,200,Humanoïde,14,M,9
Ptéranodon,"Morsure. Attaque au corps à corps avec une arme : + 3 au toucher, allonge 1,50 m, une cible. Touché : 6 (2d4 + 1) dégâts perforants.",,13,5,10,15,"Compétences Perception +1Sens Perception passive 11Langues —
Repli aérien. Le ptéranodon ne provoque pas d'attaques d'opportunité lorsqu'il quitte l'allonge d'un ennemi en volant.",12,2,-3,0,2,1,-4,-1,13,50,Bête,9,M,"3m, vol 18m"
Vautour Géant,"Attaques multiples. Le vautour réalise deux attaques : une avec son bec et une avec ses serres.
Bec. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 7 (2d4 + 2) dégâts perforants.
Serres. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché : 9 (2d6 + 2) dégâts tranchants.",,10,7,15,10,"Compétences Perception +3
Sens Perception passive 13
Langues comprend le commun mais ne peut pas parler
Odorat et vue aiguisés. Le vautour a un avantage aux jets de Sagesse (Perception) basés sur l'odorat ou la vue.

Tactique de groupe. Le vautour a un avantage aux jets d'attaque contre une créature si au moins l'un de ses alliés est à 1,50 mètre ou moins de la créature et n'est pas incapable d'agir.",15,6,-2,2,0,2,-2,1,22,200,Bête,12,G,"3m, vol 18m"
Eclaireur,"Attaques multiples. L'éclaireur effectue deux attaques au corps à corps ou deux attaques à distance.
Épée courte. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants.
Arc long. Attaque à distance avec une arme : +4 au toucher, portée 45/180 m, une cible. Touché : 6 (1d8 + 2) dégâts perforants.",,13,11,12,14,"Compétences Discrétion +6, Nature +4, Perception +5, Survie +5Sens Perception passive 15Langues une langue au choix (généralement le commun)
Ouïe et vue aiguisées. L'éclaireur a un avantage aux jets de Sagesse (Perception) basés sur l'ouïe ou la vue.",11,11,0,1,2,0,0,1,16,100,Humanoïde,13,M,9
Cultiste,"Serpe de rituel. Jet d'attaque au corps-à-corps : +3, allonge 1,50 m. Touché : 3 (1d4 + 1) dégâts tranchants plus 1 dégât nécrotique.",,12,10,10,12,"Compétences Tromperie +2, Religion +2Équipement armure de cuir, serpeSens Perception passive 10Langues commun",11,10,0,0,1,0,0,0,9,25,Humanoïde,11,M,9
Chante-Brume,,,13,13,12,14,"Sombre dévotion. Le fanatique a un avantage aux jets de sauvegarde pour ne pas être charmé ou effrayé.
Incantation. Le fanatique est un lanceur de sorts de niveau 4. Sa caractéristique d'incantation est la Sagesse (jet de sauvegarde contre ses sorts DD 11, +3 au toucher pour les attaques avec un sort). Le fanatique a préparé les sorts de clerc suivants :
Sorts mineurs (à volonté) :  Thaumaturgie (https://www.notion.so/Thaumaturgie-245300de717f8038942dd6ae7e21a9fe?pvs=21), Illusion mineure (https://www.notion.so/Illusion-mineure-247300de717f8041b95dd13dc2ad933a?pvs=21), Saute de vent (https://www.notion.so/Saute-de-vent-247300de717f80bab474e767d71fe521?pvs=21) 
Niveau 1 (4 emplacements) : Feuille Morte (https://www.notion.so/Feuille-Morte-247300de717f802fa2aef8e9c9365a96?pvs=21), Injonction (https://www.notion.so/Injonction-247300de717f80ed91a3d0593aa5a1db?pvs=21), Nappe de brouillard (https://www.notion.so/Nappe-de-brouillard-247300de717f80beab09da4d45022f88?pvs=21), Vague tonante (https://www.notion.so/Vague-tonante-247300de717f80cca2cbf62edec4397a?pvs=21) 
Niveau 2 (3 emplacements) :https://www.aidedd.org/dnd/sorts.php?vf=immobilisation-de-personneFoulée Brumeuse (https://www.notion.so/Foul-e-Brumeuse-247300de717f80129744c766eb1ada76?pvs=21), Invisibilité (https://www.notion.so/Invisibilit-247300de717f8033873bcde68dc48fd2?pvs=21), Bourrasque (https://www.notion.so/Bourrasque-247300de717f80b68c33e6a9ba573202?pvs=21) ",11,10,1,1,2,0,0,2,44,450,Humanoïde,14,M,9
Mage,"Dague. Attaque au corps à corps ou à distance avec une arme : +5 au toucher, allonge 1,50 m ou portée 6/18 m, une cible. Touché : 4 (1d4 + 2) dégâts perforants.",,12,11,11,14,"Jets de sauvegarde Int +6, Sag +4
Compétences Arcanes +6, Histoire +6
Sens Perception passive 11
Langues quatre langues au choix

Incantation. Le mage est un lanceur de sorts de niveau 9. Sa caractéristique d'incantation est l'Intelligence (jet de sauvegarde contre ses sorts DD 14, +6 au toucher pour les attaques avec un sort). Le mage a préparé les sorts de magicien suivants :
Sorts mineurs (à volonté) : Main de mage (https://www.notion.so/Main-de-mage-247300de717f80369397c81e949a5437?pvs=21), Contact glacial (https://www.notion.so/Contact-glacial-249300de717f80fa8548d31a7ef9284d?pvs=21), Aspersion d’acide (https://www.notion.so/Aspersion-d-acide-249300de717f80c9b64bdda7989de76d?pvs=21) 
Niveau 1 (4 emplacements) : Armure de mage (https://www.notion.so/Armure-de-mage-249300de717f803e8552e1b7db42ae83?pvs=21), Bouclier (https://www.notion.so/Bouclier-247300de717f80498768c775c6389f03?pvs=21), Projectile magique (https://www.notion.so/Projectile-magique-247300de717f80a9a934c08fb2f5e2c9?pvs=21), Rayon empoisonné (https://www.notion.so/Rayon-empoisonn-249300de717f80069490e10433259935?pvs=21) 
Niveau 2 (3 emplacements) : Flèche acide de Melf (https://www.notion.so/Fl-che-acide-de-Melf-249300de717f80baabd3ca1653ab1aec?pvs=21), Rayon affaiblissant (https://www.notion.so/Rayon-affaiblissant-249300de717f80c19a46df9f5e09fe52?pvs=21), Ténèbres (https://www.notion.so/T-n-bres-247300de717f80ae888ddffea0b0c5c8?pvs=21) 
Niveau 3 (3 emplacements) : Eclair (https://www.notion.so/Eclair-249300de717f807c8a58e49964dcffaa?pvs=21), Contresort (https://www.notion.so/Contresort-249300de717f8030861afe5c5db31ad1?pvs=21), Glyphe de protection (https://www.notion.so/Glyphe-de-protection-249300de717f802d8af5eede5aa5e549?pvs=21) 
Niveau 4 (3 emplacements) : Flétrissement (https://www.notion.so/Fl-trissement-249300de717f80e09488eb0c1f6ce744?pvs=21), Fabrication (https://www.notion.so/Fabrication-249300de717f80acb8c3f08037ded6a7?pvs=21) 
Niveau 5 (1 emplacement) : Brume mortelle (https://www.notion.so/Brume-mortelle-249300de717f8031baeed15e64ddeec3?pvs=21) ",9,17,0,0,2,-1,3,1,40,2300,Humanoïde,12,M,9
